Data,Trocas_Oleo,Manutencao_Motor
2024-01-01,11.0,2.0
2024-01-02,9.0,4.0
2024-01-03,12.0,1.0
2024-01-04,15.0,8.0
2024-01-05,25.0,10.0
2024-01-06,25.0,10.0
2024-01-07,31.0,14.0
2024-01-08,13.0,8.0
2024-01-09,10.0,6.0
2024-01-10,13.0,1.0
2024-01-11,10.0,1.0
2024-01-12,25.0,8.0
2024-01-13,28.0,11.0
2024-01-14,22.0,9.0
2024-01-15,7.0,1.0
2024-01-16,11.0,4.0
2024-01-17,10.0,2.0
2024-01-18,14.0,4.0
2024-01-19,25.0,7.0
2024-01-20,24.0,7.0
2024-01-21,33.0,10.0
2024-01-22,13.0,3.0
2024-01-23,14.0,7.0
2024-01-24,10.0,2.0
2024-01-25,13.0,10.0
2024-01-26,30.0,12.0
2024-01-27,26.0,10.0
2024-01-28,31.0,10.0
2024-01-29,13.0,6.0
2024-01-30,14.0,4.0
2024-01-31,14.0,5.0
2024-02-01,21.0,13.0
2024-02-02,31.0,12.0
2024-02-03,28.0,13.0
2024-02-04,34.0,12.0
2024-02-05,13.0,5.0
2024-02-06,17.0,10.0
2024-02-07,11.0,3.0
2024-02-08,13.0,8.0
2024-02-09,33.0,14.0
2024-02-10,34.0,12.0
2024-02-11,33.0,14.0
2024-02-12,17.0,8.0
2024-02-13,17.0,8.0
2024-02-14,13.0,2.0
2024-02-15,150.0,4.0
2024-02-16,32.0,12.0
2024-02-17,36.0,14.0
2024-02-18,34.0,14.0
2024-02-19,13.0,5.0
2024-02-20,20.0,5.0
2024-02-21,18.0,7.0
2024-02-22,17.0,8.0
2024-02-23,36.0,15.0
2024-02-24,37.0,16.0
2024-02-25,37.0,16.0
2024-02-26,17.0,7.0
2024-02-27,19.0,7.0
2024-02-28,21.0,5.0
2024-02-29,23.0,10.0
2024-03-01,33.0,13.0
2024-03-02,34.0,14.0
2024-03-03,32.0,10.0
2024-03-04,17.0,4.0
2024-03-05,23.0,11.0
2024-03-06,24.0,9.0
2024-03-07,20.0,9.0
2024-03-08,39.0,15.0
2024-03-09,37.0,14.0
2024-03-10,34.0,15.0
2024-03-11,22.0,7.0
2024-03-12,26.0,10.0
2024-03-13,21.0,7.0
2024-03-14,26.0,9.0
2024-03-15,28.0,10.0
2024-03-16,39.0,16.0
2024-03-17,37.0,13.0
2024-03-18,20.0,10.0
2024-03-19,22.0,7.0
2024-03-20,16.0,6.0
2024-03-21,21.0,7.0
2024-03-22,38.0,18.0
2024-03-23,41.0,16.0
2024-03-24,35.0,16.0
2024-03-25,19.0,4.0
2024-03-26,20.0,8.0
2024-03-27,25.0,11.0
2024-03-28,23.0,9.0
2024-03-29,35.0,16.0
2024-03-30,38.0,14.0
2024-03-31,37.0,17.0
2024-04-01,25.0,14.0
2024-04-02,20.0,7.0
2024-04-03,21.0,7.0
2024-04-04,21.0,11.0
2024-04-05,33.0,16.0
2024-04-06,38.0,14.0
2024-04-07,38.0,14.0
2024-04-08,22.0,8.0
2024-04-09,21.0,5.0
2024-04-10,,5.0
2024-04-11,,6.0
2024-04-12,,12.0
2024-04-13,,13.0
2024-04-14,,15.0
2024-04-15,,12.0
2024-04-16,28.0,9.0
2024-04-17,23.0,11.0
2024-04-18,23.0,8.0
2024-04-19,37.0,14.0
2024-04-20,31.0,13.0
2024-04-21,37.0,12.0
2024-04-22,22.0,9.0
2024-04-23,29.0,11.0
2024-04-24,21.0,9.0
2024-04-25,23.0,9.0
2024-04-26,37.0,19.0
2024-04-27,33.0,11.0
2024-04-28,40.0,14.0
2024-04-29,24.0,8.0
2024-04-30,24.0,8.0
2024-05-01,19.0,6.0
2024-05-02,26.0,12.0
2024-05-03,32.0,15.0
2024-05-04,38.0,14.0
2024-05-05,43.0,15.0
2024-05-06,18.0,8.0
2024-05-07,19.0,6.0
2024-05-08,21.0,9.0
2024-05-09,19.0,8.0
2024-05-10,31.0,9.0
2024-05-11,36.0,17.0
2024-05-12,32.0,16.0
2024-05-13,22.0,7.0
2024-05-14,18.0,6.0
2024-05-15,25.0,10.0
2024-05-16,18.0,7.0
2024-05-17,34.0,14.0
2024-05-18,38.0,19.0
2024-05-19,31.0,12.0
2024-05-20,21.0,6.0
2024-05-21,24.0,6.0
2024-05-22,15.0,4.0
2024-05-23,20.0,7.0
2024-05-24,35.0,17.0
2024-05-25,37.0,13.0
2024-05-26,31.0,12.0
2024-05-27,15.0,5.0
2024-05-28,21.0,10.0
2024-05-29,20.0,13.0
2024-05-30,20.0,6.0
2024-05-31,35.0,13.0
2024-06-01,31.0,14.0
2024-06-02,34.0,14.0
2024-06-03,19.0,11.0
2024-06-04,16.0,7.0
2024-06-05,24.0,8.0
2024-06-06,19.0,8.0
2024-06-07,29.0,13.0
2024-06-08,35.0,15.0
2024-06-09,30.0,13.0
2024-06-10,20.0,10.0
2024-06-11,21.0,10.0
2024-06-12,15.0,8.0
2024-06-13,20.0,9.0
2024-06-14,33.0,12.0
2024-06-15,34.0,13.0
2024-06-16,37.0,17.0
2024-06-17,16.0,4.0
2024-06-18,14.0,6.0
2024-06-19,13.0,4.0
2024-06-20,14.0,5.0
2024-06-21,31.0,14.0
2024-06-22,32.0,13.0
2024-06-23,31.0,12.0
2024-06-24,18.0,4.0
2024-06-25,15.0,7.0
2024-06-26,19.0,8.0
2024-06-27,14.0,9.0
2024-06-28,38.0,14.0
2024-06-29,32.0,13.0
2024-06-30,27.0,11.0
2024-07-01,11.0,7.0
2024-07-02,16.0,6.0
